annee;nom;prenom;code_categorie_iuf;categorie_iuf;code_reconduction_iuf;reconduction_iuf;code_sexe;sexe;code_section_cnu;section_cnu;code_groupe_cnu;groupe_cnu;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;numero_national_de_structure_de_recherche;unite_de_recherche;code_academie;academie;code_region;region;code_pres;pres;code_idex;idex;latitude;longitude;discipline_nomenclature;etablissement
1999;SERE;ERIC;1;Junior;0;Nouvelle candidature;1;Hommes;26;Section 26 - Mathematiques appliquees et applications des mathematiques;5;Mathematiques et Informatique;3;Sciences;;;0750736T;;;1;Paris;11;Île-de-France;0755575C;PRES Paris Sciences et Lettres - Quartier latin;4;IDEX PSL;48.8711494;2.2752911;Sciences>Mathematiques et Informatique>Section 26 - Mathematiques appliquees et applications des mathematiques;Universite Paris-Dauphine
1999;PILENI;MARIE-PAULE;2;Senior;0;Nouvelle candidature;2;Femmes;31;Section 31 - Chimie theorique, physique, analytique;7;Chimie;3;Sciences;;;0751722P;;;1;Paris;11;Île-de-France;0755574B;Sorbonne Universites;5;IDEX SUPER;48.8464111;2.3548468;Sciences>Chimie>Section 31 - Chimie theorique, physique, analytique;Universite Pierre et Marie Curie
1999;PETRE GRENOUILLEAU;OLIVIER;1;Junior;0;Nouvelle candidature;1;Hommes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0561718N;;;14;Rennes;53;Bretagne;0352756F;Universite Bretagne Loire;;Hors IDEX;47.745793;-3.3896914;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite de Bretagne-Sud
1999;NEVIERE;MICHEL;2;Senior;0;Nouvelle candidature;1;Hommes;30;Section 30 - Milieux dilues et optique;6;Physique;3;Sciences;;;0134009M;;;2;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;43.2920605;5.3590128;Sciences>Physique>Section 30 - Milieux dilues et optique;Aix-Marseille universite
1999;MOREAU;RENE;2;Senior;1;Reconduction;1;Hommes;60;Section 60 - Mecanique, genie mecanique, genie civil;9;Mecanique, Genie mecanique, Genie informatique;3;Sciences;1;Professeurs et assimiles;0381912X;;;8;Grenoble;82;Rhône-Alpes;0383412C;Universite Grenoble Alpes;;Hors IDEX;45.1907112;5.7174034;Sciences>Mecanique, Genie mecanique, Genie informatique>Section 60 - Mecanique, genie mecanique, genie civil;Grenoble INP
1999;METTON;ALAIN;2;Senior;1;Reconduction;1;Hommes;23;Section 23 - Geographie physique, humaine, economique et regionale;4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0941111X;;;24;Creteil;11;Île-de-France;0772710C;Universite Paris-Est;;Hors IDEX;48.7881615;2.4459648;Lettres et sciences humaines>Sciences humaines>Section 23 - Geographie physique, humaine, economique et regionale;Universite Paris-Est Creteil Val-de-Marne
1999;KAHN;OLIVIER;2;Senior;1;Reconduction;1;Hommes;32;Section 32 - Chimie organique, minerale, industrielle;7;Chimie;3;Sciences;;;0333298F;;;4;Bordeaux;72;Aquitaine;0333178A;Communaute d'universites et etablissements d'Aquitaine;2;IDEX Bordeaux;44.825822;-0.60653;Sciences>Chimie>Section 32 - Chimie organique, minerale, industrielle;Universite de Bordeaux
1999;FERRAND;FREDERIQUE;1;Junior;0;Nouvelle candidature;2;Femmes;2;Section 2 - Droit public;1;Droit et Science politique;1;Droit et sciences economiques;1;Professeurs et assimiles;0692437Z;;;10;Lyon;82;Rhône-Alpes;0694094A;Universite de Lyon;;Hors IDEX;45.7518154;4.8375659;Droit et sciences economiques>Droit et Science politique>Section 2 - Droit public;Universite Jean Moulin - Lyon 3
1999;DORIER APPRILL;ELISABETH;1;Junior;0;Nouvelle candidature;2;Femmes;23;Section 23 - Geographie physique, humaine, economique et regionale;4;Sciences humaines;2;Lettres et sciences humaines;2;Maîtres de conferences et assimiles;0134009M;200217423J;Laboratoire Population Environnement Developpement;2;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;43.2920605;5.3590128;Lettres et sciences humaines>Sciences humaines>Section 23 - Geographie physique, humaine, economique et regionale;Aix-Marseille universite
1999;BIAIS;BRUNO;1;Junior;0;Nouvelle candidature;1;Hommes;6;Section 6 - Sciences de gestion;2;Sciences economique et de gestion;1;Droit et sciences economiques;1;Professeurs et assimiles;0311382J;;;16;Toulouse;73;Midi-Pyrenees;0312758E;Universite federale de Toulouse Midi-Pyrenees;6;IDEX UNITI;43.60635;1.4356166;Droit et sciences economiques>Sciences economique et de gestion>Section 6 - Sciences de gestion;Universite Toulouse 1 - Capitole
1999;BERTRAND DORLEAC;LAURENCE;2;Senior;0;Nouvelle candidature;2;Femmes;22;"Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";4;Sciences humaines;2;Lettres et sciences humaines;;;0801344B;;;20;Amiens;22;Picardie;0512141A;Universite de Champagne;;Hors IDEX;49.8762421;2.2668361;"Lettres et sciences humaines>Sciences humaines>Section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde  contemporain ;de l'art;de la musique";Universite de Picardie Jules-Verne
1999;BENABID;ALIM-LOUIS;2;Senior;0;Nouvelle candidature;1;Hommes;43;Section 43 - Biophysique et imagerie medicale;14;Medecine;4;Sante;;;0383493R;;;8;Grenoble;82;Rhône-Alpes;;Hors PRES;;Hors IDEX;45.1918;5.76726;Sante>Medecine>Section 43 - Biophysique et imagerie medicale;Universite de Grenoble Alpes
1999;BELLET;DANIEL;1;Junior;0;Nouvelle candidature;1;Hommes;28;Section 28 - Milieux denses et materiaux;6;Physique;3;Sciences;1;Professeurs et assimiles;0381912X;;;8;Grenoble;82;Rhône-Alpes;0383412C;Universite Grenoble Alpes;;Hors IDEX;45.1907112;5.7174034;Sciences>Physique>Section 28 - Milieux denses et materiaux;Grenoble INP
1999;AUBERT;JEAN-JACQUES;2;Senior;1;Reconduction;1;Hommes;29;Section 29 - Constituants elementaires;6;Physique;3;Sciences;1;Professeurs et assimiles;0134009M;;;2;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;43.2920605;5.3590128;Sciences>Physique>Section 29 - Constituants elementaires;Aix-Marseille universite
2000;MORHANGE;CHRISTOPHE;1;Junior;0;Nouvelle candidature;1;Hommes;23;Section 23 - Geographie physique, humaine, economique et regionale;4;Sciences humaines;2;Lettres et sciences humaines;1;Professeurs et assimiles;0134009M;;;2;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;43.2920605;5.3590128;Lettres et sciences humaines>Sciences humaines>Section 23 - Geographie physique, humaine, economique et regionale;Aix-Marseille universite
